Latitude	Longitude	Address
48.19668	16.34154	3 Kaiserstraße, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.19574	16.38335	12a Rennweg, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.1535	16.28311	9a Meyrinkgasse, 23. Bezirk-Liesing, Wien, Wien, 9, AT, 1230
48.20192	16.37111	8 Kärntner Ring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21333	16.38296	1 Aspernbrückengasse, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.19804	16.33659	1 Pelzgasse, 15. Bezirk-Rudolfsheim-Fünfhaus, Wien, Wien, 9, AT, 1150
48.16677	16.34523	Hertha-Firnberg-Straße, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
48.20362	16.35681	9 Breite Gasse, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.19423	16.34638	23 Webgasse, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.21776	16.38212	10 Rotensterngasse, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.20243	16.37012	1 Kärntner Ring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21329	16.41288	4 Trabrennstraße, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.21334	16.34728	1 Daungasse, 8. Bezirk-Josefstadt, Wien, Wien, 9, AT, 1080
48.2113	16.37452	1a Fleischmarkt, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.15175	16.40638	5 Filmteichstraße, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
48.18775	16.27253	134 Hietzinger Hauptstraße, 13. Bezirk-Hietzing, Wien, Wien, 9, AT, 1130
48.18658	16.30251	10-16 Hietzinger Hauptstraße, 13. Bezirk-Hietzing, Wien, Wien, 9, AT, 1130
48.19462	16.33985	30 Mariahilfer Gürtel, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.20795	16.36996	3 Dorotheergasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19179	16.37688	5 Mommsengasse, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
41.37992	2.14127	Plaça dels Països Catalans, Sants, Barcelona, Barcelona, CT, ES, 08014
41.378	2.17311	36 Carrer Nou de la Rambla, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.38969	2.16608	254B Carrer de la Diputació, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.39098	2.17063	656 Gran Via de les Corts Catalanes, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.39442	2.16492	150 Carrer de Pau Claris, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08009
41.38584	2.16595	14 Carrer de Pelai, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.41083	2.13633	Avinguda del Tibidabo, Sant Gervasi-la Bonanova, Barcelona, Barcelona, CT, ES, 08022
